"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FCSB","SuperLiga","Romania","2024","Arrivals","Daniel Bîrligea","https://www.transfermarkt.com/daniel-birligea/profil/spieler/468192","Centre-Forward","24","Romania","CFR Cluj","SuperLiga","Romania",2e+06,FALSE,NA,"Summer",36,35,17,2610
"FCSB","SuperLiga","Romania","2024","Arrivals","Marius Ștefănescu","https://www.transfermarkt.com/marius-stefanescu/profil/spieler/685795","Right Winger","25","Romania","Sepsi OSK","SuperLiga","Romania",1300000,FALSE,NA,"Summer",63,44,8,2243
"FCSB","SuperLiga","Romania","2024","Arrivals","Daniel Popa","https://www.transfermarkt.com/daniel-popa/profil/spieler/341364","Centre-Forward","28","Romania","U Cluj","SuperLiga","Romania",3e+05,FALSE,NA,"Summer",41,30,2,1262
"FCSB","SuperLiga","Romania","2024","Arrivals","William Baeten","https://www.transfermarkt.com/william-baeten/profil/spieler/449879","Right Winger","27","Belgium","FC U Craiova","Liga 2","Romania",3e+05,FALSE,NA,"Summer",28,18,1,563
"FCSB","SuperLiga","Romania","2024","Arrivals","Mihai Popescu","https://www.transfermarkt.com/mihai-popescu/profil/spieler/361537","Centre-Back","31","Romania","FCV Farul","SuperLiga","Romania",250000,FALSE,NA,"Summer",44,39,0,3172
"FCSB","SuperLiga","Romania","2024","Arrivals","Florin Tănase","https://www.transfermarkt.com/florin-tanase/profil/spieler/314329","Attacking Midfield","29","Romania","Al-Okhdood","Saudi Pro League","Saudi Arabia",0,FALSE,NA,"Summer",41,41,5,2825
"FCSB","SuperLiga","Romania","2024","Arrivals","David Kiki","https://www.transfermarkt.com/david-kiki/profil/spieler/379870","Left-Back","30","Benin","FCV Farul","SuperLiga","Romania",0,FALSE,NA,"Summer",37,9,0,760
"FCSB","SuperLiga","Romania","2024","Arrivals","Malcom Edjouma","https://www.transfermarkt.com/malcom-edjouma/profil/spieler/468704","Central Midfield","27","Morocco","Bari","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2024","Summer",55,44,3,1877
"FCSB","SuperLiga","Romania","2024","Arrivals","Ovidiu Perianu","https://www.transfermarkt.com/ovidiu-perianu/profil/spieler/623425","Defensive Midfield","22","Romania","FC Buzău","Liga 2","Romania",NA,TRUE,"End of loan Jun 30, 2024","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2024","Departures","Florinel Coman","https://www.transfermarkt.com/florinel-coman/profil/spieler/340982","Left Winger","26","Romania","Al-Gharafa","Stars League","Qatar",5250000,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2024","Departures","Nana Antwi","https://www.transfermarkt.com/nana-antwi/profil/spieler/608977","Right-Back","24","Ghana","FC Hermannstadt","SuperLiga","Romania",5e+05,TRUE,NA,"Summer",12,6,0,381
"FCSB","SuperLiga","Romania","2024","Departures","Ovidiu Popescu","https://www.transfermarkt.com/ovidiu-popescu/profil/spieler/289017","Defensive Midfield","30","Romania","U Cluj","SuperLiga","Romania",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2024","Departures","Denis Haruț","https://www.transfermarkt.com/denis-harut/profil/spieler/412641","Centre-Back","25","Romania","Sepsi OSK","SuperLiga","Romania",0,FALSE,NA,"Summer",11,3,0,270
"FCSB","SuperLiga","Romania","2024","Departures","Eduard Radaslavescu","https://www.transfermarkt.com/eduard-radaslavescu/profil/spieler/731522","Attacking Midfield","19","Romania","FCV Farul","SuperLiga","Romania",0,FALSE,NA,"Summer",1,1,0,45
"FCSB","SuperLiga","Romania","2024","Departures","Andrei Pandele","https://www.transfermarkt.com/andrei-pandele/profil/spieler/608478","Central Midfield","21","Romania","FC Voluntari","Liga 2","Romania",0,FALSE,NA,"Summer",10,1,0,40
"FCSB","SuperLiga","Romania","2024","Departures","Ovidiu Perianu","https://www.transfermarkt.com/ovidiu-perianu/profil/spieler/623425","Defensive Midfield","22","Romania","Unirea Slobozia","SuperLiga","Romania",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2024","Arrivals","Ionuț Cercel","https://www.transfermarkt.com/ionut-cercel/profil/spieler/1073910","Right-Back","18","Romania","FCV Farul","SuperLiga","Romania",5e+05,FALSE,NA,"Winter",10,3,0,180
"FCSB","SuperLiga","Romania","2024","Arrivals","Alexandru Stoian","https://www.transfermarkt.com/alexandru-stoian/profil/spieler/992823","Centre-Forward","17","Romania","FCV Farul","SuperLiga","Romania",5e+05,FALSE,NA,"Winter",10,2,1,100
"FCSB","SuperLiga","Romania","2024","Arrivals","Jordan Gele","https://www.transfermarkt.com/jordan-gele/profil/spieler/531909","Centre-Forward","32","France","Unirea Slobozia","SuperLiga","Romania",3e+05,FALSE,NA,"Winter",14,12,1,346
"FCSB","SuperLiga","Romania","2024","Arrivals","Lukas Zima","https://www.transfermarkt.com/lukas-zima/profil/spieler/147558","Goalkeeper","30","Czech Republic","Petrolul","SuperLiga","Romania",250000,FALSE,NA,"Winter",23,2,0,177
"FCSB","SuperLiga","Romania","2024","Arrivals","Juri Cisotti","https://www.transfermarkt.com/juri-cisotti/profil/spieler/163999","Central Midfield","31","Italy","Otelul Galati","SuperLiga","Romania",2e+05,FALSE,NA,"Winter",21,20,5,1528
"FCSB","SuperLiga","Romania","2024","Arrivals","Andrei Gheorghiță","https://www.transfermarkt.com/andrei-gheorghita/profil/spieler/880840","Left Midfield","22","Romania","ACSM Poli Iasi","SuperLiga","Romania",120000,TRUE,NA,"Winter",16,12,1,567
"FCSB","SuperLiga","Romania","2024","Arrivals","Andrei Dăncuș","https://www.transfermarkt.com/andrei-dancus/profil/spieler/1179041","Centre-Back","16","Romania","FCSB U18",NA,"Romania",NA,FALSE,"-","Winter",4,1,0,11
"FCSB","SuperLiga","Romania","2024","Departures","Luis Phelipe","https://www.transfermarkt.com/luis-phelipe/profil/spieler/673830","Left Winger","23","Brazil","FC Sheriff","Super Liga (Phase 2)","Moldova",0,FALSE,NA,"Winter",29,16,2,592
"FCSB","SuperLiga","Romania","2024","Departures","Ionuț Panțîru","https://www.transfermarkt.com/ionut-pantiru/profil/spieler/481484","Left-Back","28","Romania","FC Voluntari","Liga 2","Romania",0,FALSE,NA,"Winter",34,12,1,929
