"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FCSB","SuperLiga","Romania","2004","Arrivals","Andrei Cristea","https://www.transfermarkt.com/andrei-cristea/profil/spieler/26491","Centre-Forward","20","Romania","FCM Bacau","SuperLiga","Romania",8e+05,FALSE,NA,"Summer",38,36,9,1929
"FCSB","SuperLiga","Romania","2004","Arrivals","Petre Marin","https://www.transfermarkt.com/petre-marin/profil/spieler/26498","Left-Back","30","Romania","Progresul","SuperLiga","Romania",6e+05,FALSE,NA,"Summer",36,36,0,3256
"FCSB","SuperLiga","Romania","2004","Arrivals","Eugen Baciu","https://www.transfermarkt.com/eugen-baciu/profil/spieler/26487","Centre-Back","24","Romania","FCM Bacau","SuperLiga","Romania",4e+05,FALSE,NA,"Summer",25,23,1,1509
"FCSB","SuperLiga","Romania","2004","Arrivals","Cristian Ciocoiu","https://www.transfermarkt.com/cristian-ciocoiu/profil/spieler/26490","Centre-Forward","28","Romania","FCM Bacau","SuperLiga","Romania",150000,FALSE,NA,"Summer",12,10,1,207
"FCSB","SuperLiga","Romania","2004","Arrivals","Florin Dobre","https://www.transfermarkt.com/florin-dobre/profil/spieler/26494","Goalkeeper","18","Romania","FCSB U21",NA,"Romania",NA,FALSE,"-","Summer",1,0,0,0
"FCSB","SuperLiga","Romania","2004","Arrivals","Alin Litu","https://www.transfermarkt.com/alin-litu/profil/spieler/34938","Centre-Forward","17","Romania","FCSB U21",NA,"Romania",NA,FALSE,"-","Summer",5,5,0,324
"FCSB","SuperLiga","Romania","2004","Arrivals","Sorin Ghionea","https://www.transfermarkt.com/sorin-ghionea/profil/spieler/26496","Centre-Back","25","Romania","Otelul Galati","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2004","Summer",38,38,0,3438
"FCSB","SuperLiga","Romania","2004","Departures","Valeriu Răchită","https://www.transfermarkt.com/valeriu-rachita/profil/spieler/26505","Centre-Back","34","Romania","FC U Craiova","SuperLiga","Romania",0,FALSE,NA,"Summer",2,2,1,180
"FCSB","SuperLiga","Romania","2004","Departures","Dorel Mutica","https://www.transfermarkt.com/dorel-mutica/profil/spieler/169028","Centre-Back","31","Romania","FC U Craiova","SuperLiga","Romania",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2004","Departures","Marian Aliuta","https://www.transfermarkt.com/marian-aliuta/profil/spieler/28532","Attacking Midfield","26","Romania","FC Rapid 1923","SuperLiga","Romania",0,FALSE,NA,"Summer",2,2,0,68
"FCSB","SuperLiga","Romania","2004","Departures","Alexandru Pițurcă","https://www.transfermarkt.com/alexandru-piturca/profil/spieler/7260","Centre-Forward","20","Romania","FC Caracal",NA,"Romania",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2004","Departures","Eugen Nae","https://www.transfermarkt.com/eugen-nae/profil/spieler/25937","Goalkeeper","29","Romania","Progresul","SuperLiga","Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2004","Departures","Romeo Paduret","https://www.transfermarkt.com/romeo-paduret/profil/spieler/282861","Central Midfield","29","Romania","FC U Craiova","SuperLiga","Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2004","Departures","Radu Niculescu","https://www.transfermarkt.com/radu-niculescu/profil/spieler/7094","Centre-Forward","29","Romania","CQ Liangjiang","Super League","China",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2004","Arrivals","Florin Lovin","https://www.transfermarkt.com/florin-lovin/profil/spieler/26497","Central Midfield","22","Romania","FCM Bacau","SuperLiga","Romania",5e+05,FALSE,NA,"Winter",21,19,1,714
"FCSB","SuperLiga","Romania","2004","Arrivals","Bănel Nicoliță","https://www.transfermarkt.com/banel-nicolita/profil/spieler/34758","Right Winger","19","Romania","Poli. Timisoara","SuperLiga","Romania",350000,FALSE,NA,"Winter",17,15,2,987
"FCSB","SuperLiga","Romania","2004","Arrivals","Boris Keca","https://www.transfermarkt.com/boris-keca/profil/spieler/282246","Centre-Back","26","Bosnia-Herzegovina","FC Brasov","SuperLiga","Romania",NA,FALSE,"?","Winter",4,1,0,64
"FCSB","SuperLiga","Romania","2004","Departures","Adrian Neaga","https://www.transfermarkt.com/adrian-neaga/profil/spieler/26499","Centre-Forward","25","Romania","Jeonnam Dragons","K League - 2nd Stage","Korea, South",750000,FALSE,NA,"Winter",23,23,11,1912
"FCSB","SuperLiga","Romania","2004","Departures","Pompiliu Stoica","https://www.transfermarkt.com/pompiliu-stoica/profil/spieler/25660","Left-Back","28","Romania","FC Moscow","Premier Liga","Russia",325000,FALSE,NA,"Winter",1,1,0,90
"FCSB","SuperLiga","Romania","2004","Departures","Nana Falemi","https://www.transfermarkt.com/nana-falemi/profil/spieler/26060","Centre-Back","30","Cameroon","Ergotelis","Super League 1","Greece",0,FALSE,NA,"Winter",10,9,0,535
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Ionuț Bălan","https://www.transfermarkt.com/ionut-balan/profil/spieler/26034","Right-Back","26","Romania","Farul Constanta","SuperLiga","Romania",120000,FALSE,NA,"Summer",20,19,1,1100
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Adrian Mihalcea","https://www.transfermarkt.com/adrian-mihalcea/profil/spieler/21869","Centre-Forward","28","Romania","Hellas Verona","Serie B","Italy",0,FALSE,NA,"Summer",18,18,1,1018
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Andrei Mărgăritescu","https://www.transfermarkt.com/andrei-margaritescu/profil/spieler/26040","Defensive Midfield","24","Romania","CSM Focsani",NA,"Romania",0,FALSE,NA,"Summer",36,36,2,2869
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Florin Matache","https://www.transfermarkt.com/florin-matache/profil/spieler/26031","Goalkeeper","21","Romania","CSO Plopeni",NA,"Romania",0,FALSE,NA,"Summer",1,0,0,0
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Bogdan Stelea","https://www.transfermarkt.com/bogdan-stelea/profil/spieler/32185","Goalkeeper","36","Romania","UD Salamanca","LaLiga2","Spain",0,FALSE,NA,"Summer",14,14,0,1210
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Dennis Șerban","https://www.transfermarkt.com/dennis-serban/profil/spieler/7581","Central Midfield","28","Romania","Petrolul",NA,"Romania",0,FALSE,NA,"Summer",6,5,0,104
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Cristian Irimia","https://www.transfermarkt.com/cristian-irimia/profil/spieler/26039","Right-Back","22","Romania","FC Rapid 1923","SuperLiga","Romania",0,FALSE,NA,"Summer",16,14,0,897
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Lucian Goian","https://www.transfermarkt.com/lucian-goian/profil/spieler/26036","Centre-Back","21","Romania","Ceahlaul",NA,"Romania",0,FALSE,NA,"Summer",8,7,0,331
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Liviu Ciobotariu","https://www.transfermarkt.com/liviu-ciobotariu/profil/spieler/103212","Centre-Back","33","Romania","Royal Antwerp","Challenger Pro League","Belgium",NA,FALSE,"?","Summer",14,13,0,822
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","George Galamaz","https://www.transfermarkt.com/george-galamaz/profil/spieler/26035","Centre-Back","23","Romania","FC Rapid 1923","SuperLiga","Romania",NA,FALSE,"?","Summer",29,27,0,2359
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Alexandru Păcurar","https://www.transfermarkt.com/alexandru-pacurar/profil/spieler/26043","Attacking Midfield","22","Romania","U Cluj",NA,"Romania",NA,FALSE,"?","Summer",19,15,1,591
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Alexandru Baltoi","https://www.transfermarkt.com/alexandru-baltoi/profil/spieler/26045","Centre-Forward","22","Romania","Farul Constanta","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2004","Summer",23,21,3,548
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Marian Vătavu","https://www.transfermarkt.com/marian-vatavu/profil/spieler/47896","Centre-Back","22","Romania","U Cluj",NA,"Romania",NA,TRUE,"End of loan Jun 30, 2004","Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Cristian Pulhac","https://www.transfermarkt.com/cristian-pulhac/profil/spieler/34781","Left-Back","19","Romania","Sportul S.",NA,"Romania",NA,TRUE,"End of loan Jun 30, 2004","Summer",12,12,2,904
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Cosmin Barcauan","https://www.transfermarkt.com/cosmin-barcauan/profil/spieler/22099","Centre-Back","25","Romania","Shakhtar D.","Premier Liga","Ukraine",770000,FALSE,NA,"Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Dan Alexa","https://www.transfermarkt.com/dan-alexa/profil/spieler/47146","Defensive Midfield","24","Romania","BJ Guoan","Super League","China",6e+05,FALSE,NA,"Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Pape Seydou Diop","https://www.transfermarkt.com/pape-seydou-diop/profil/spieler/171920","Midfielder","25","Senegal","Levallois SC",NA,"France",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Samuel Okunowo","https://www.transfermarkt.com/samuel-okunowo/profil/spieler/3517","Right-Back","25","Nigeria","KF Tirana",NA,"Albania",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Cristian Ciubotariu","https://www.transfermarkt.com/cristian-ciubotariu/profil/spieler/46519","Left Winger","23","Romania","Poli Iasi","SuperLiga","Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Ștefan Preda","https://www.transfermarkt.com/stefan-preda/profil/spieler/102024","Goalkeeper","34","Romania","FC Arges","SuperLiga","Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Szabolcs Mihály Perényi","https://www.transfermarkt.com/szabolcs-mihaly-perenyi/profil/spieler/46622","Right-Back","21","Romania","Poli Iasi","SuperLiga","Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Adrian Cristea","https://www.transfermarkt.com/adrian-cristea/profil/spieler/33440","Left Winger","21","Romania","Poli Iasi","SuperLiga","Romania",1200000,FALSE,NA,"Winter",11,10,0,442
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Ianis Zicu","https://www.transfermarkt.com/ianis-zicu/profil/spieler/16909","Attacking Midfield","21","Romania","Inter","Serie A","Italy",2e+05,TRUE,NA,"Winter",14,14,3,785
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Tibor Moldovan","https://www.transfermarkt.com/tibor-moldovan/profil/spieler/46598","Centre-Forward","22","Romania","Alba Iulia","SuperLiga","Romania",NA,FALSE,"?","Winter",6,5,1,73
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Gabriel Tamaș","https://www.transfermarkt.com/gabriel-tamas/profil/spieler/6893","Centre-Back","21","Romania","Spartak Moscow","Premier Liga","Russia",NA,TRUE,"loan transfer","Winter",14,14,0,1171
"FC Dinamo 1948","SuperLiga","Romania","2004","Arrivals","Răzvan Pădurețu","https://www.transfermarkt.com/razvan-paduretu/profil/spieler/46615","Attacking Midfield","23","Romania","CSM Focsani",NA,"Romania",NA,TRUE,"End of loan Dec 31, 2004","Winter",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Cristian Irimia","https://www.transfermarkt.com/cristian-irimia/profil/spieler/26039","Right-Back","23","Romania","Dynamo Kyiv","Premier Liga","Ukraine",550000,FALSE,NA,"Winter",16,14,0,897
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Dennis Șerban","https://www.transfermarkt.com/dennis-serban/profil/spieler/7581","Central Midfield","28","Romania","AE Larisa","Football League","Greece",0,FALSE,NA,"Winter",6,5,0,104
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Claudiu Drăgan","https://www.transfermarkt.com/claudiu-dragan/profil/spieler/26048","Centre-Forward","25","Romania","FC U Craiova","SuperLiga","Romania",0,FALSE,NA,"Winter",2,2,0,37
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Iulian Tameș","https://www.transfermarkt.com/iulian-tames/profil/spieler/26052","Central Midfield","26","Romania","Spartak V.","Premier Liga","Russia",0,FALSE,NA,"Winter",16,16,0,1190
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Leonard Naidin","https://www.transfermarkt.com/leonard-naidin/profil/spieler/26042","Attacking Midfield","25","Romania","Poli. Timisoara","SuperLiga","Romania",NA,FALSE,"?","Winter",4,3,0,173
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Cristian Cigan","https://www.transfermarkt.com/cristian-cigan/profil/spieler/26046","Centre-Forward","17","Romania","Liberty Salonta",NA,"Romania",NA,FALSE,"?","Winter",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Cristian Munteanu","https://www.transfermarkt.com/cristian-munteanu/profil/spieler/26032","Goalkeeper","30","Romania","Progresul","SuperLiga","Romania",NA,TRUE,"loan transfer","Winter",11,9,0,720
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Vlad Munteanu","https://www.transfermarkt.com/vlad-munteanu/profil/spieler/26041","Left Midfield","23","Romania","Progresul","SuperLiga","Romania",NA,TRUE,"loan transfer","Winter",8,5,0,179
"FC Dinamo 1948","SuperLiga","Romania","2004","Departures","Ionel Dănciulescu","https://www.transfermarkt.com/ionel-danciulescu/profil/spieler/19405","Centre-Forward","28","Romania","SD Taishan","Super League","China",NA,TRUE,"loan transfer","Winter",21,21,14,1884
"Progresul Bucharest (- 2009)",NA,NA,"2004","Arrivals","Alin Stoica","https://www.transfermarkt.com/alin-stoica/profil/spieler/9669","Attacking Midfield","25","Romania","Siena","Serie A","Italy",0,FALSE,NA,"Summer",6,6,0,274
"Progresul Bucharest (- 2009)",NA,NA,"2004","Arrivals","Abiodun Agunbiade","https://www.transfermarkt.com/abiodun-agunbiade/profil/spieler/25926","Right Winger","21","Nigeria","Naval 1893","Liga Portugal 2","Portugal",0,FALSE,NA,"Summer",17,17,1,1446
"Progresul Bucharest (- 2009)",NA,NA,"2004","Arrivals","Rabiu Baita","https://www.transfermarkt.com/rabiu-baita/profil/spieler/8061","Centre-Forward","19","Nigeria","Paris SG","Ligue 1","France",0,FALSE,NA,"Summer",NA,NA,NA,NA
"Progresul Bucharest (- 2009)",NA,NA,"2004","Arrivals","Marian Savu","https://www.transfermarkt.com/marian-savu/profil/spieler/42799","Centre-Forward","31","Romania","Fehérvár","NB I.","Hungary",NA,FALSE,"?","Summer",9,9,0,273
