"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FCSB","SuperLiga","Romania","2007","Arrivals","Ionut Rada","https://www.transfermarkt.com/ionut-rada/profil/spieler/34506","Centre-Back","24","Romania","FC Rapid 1923","SuperLiga","Romania",1600000,FALSE,NA,"Summer",31,29,1,2418
"FCSB","SuperLiga","Romania","2007","Arrivals","Mihăiță Pleșan","https://www.transfermarkt.com/mihaita-plesan/profil/spieler/26683","Central Midfield","24","Romania","Poli. Timisoara","SuperLiga","Romania",1300000,FALSE,NA,"Summer",15,15,2,877
"FCSB","SuperLiga","Romania","2007","Arrivals","Pawel Golanski","https://www.transfermarkt.com/pawel-golanski/profil/spieler/32313","Right-Back","24","Poland","Korona Kielce","Ekstraklasa","Poland",1300000,FALSE,NA,"Summer",31,27,1,1875
"FCSB","SuperLiga","Romania","2007","Arrivals","Ifeanyi Emeghara","https://www.transfermarkt.com/ifeanyi-emeghara/profil/spieler/24552","Left-Back","23","Nigeria","Poli. Timisoara","SuperLiga","Romania",1200000,FALSE,NA,"Summer",19,18,0,1563
"FCSB","SuperLiga","Romania","2007","Arrivals","Adrian Neaga","https://www.transfermarkt.com/adrian-neaga/profil/spieler/26499","Centre-Forward","28","Romania","Seongnam FC","K League 1","Korea, South",1e+06,FALSE,NA,"Summer",36,35,4,2160
"FCSB","SuperLiga","Romania","2007","Arrivals","Romeo Surdu","https://www.transfermarkt.com/romeo-surdu/profil/spieler/43378","Left Winger","23","Romania","CFR Cluj","SuperLiga","Romania",1e+06,FALSE,NA,"Summer",23,20,0,889
"FCSB","SuperLiga","Romania","2007","Arrivals","Róbinson Zapata","https://www.transfermarkt.com/robinson-zapata/profil/spieler/54320","Goalkeeper","28","Colombia","Cúcuta Dep.",NA,"Colombia",1e+06,FALSE,NA,"Summer",42,42,0,3780
"FCSB","SuperLiga","Romania","2007","Arrivals","Valentin Bădoi","https://www.transfermarkt.com/valentin-badoi/profil/spieler/34508","Right-Back","31","Romania","FC Rapid 1923","SuperLiga","Romania",550000,FALSE,NA,"Summer",19,17,0,806
"FCSB","SuperLiga","Romania","2007","Arrivals","Cosmin Vâtcă","https://www.transfermarkt.com/cosmin-vatca/profil/spieler/47477","Goalkeeper","25","Romania","Otelul Galati","SuperLiga","Romania",5e+05,FALSE,NA,"Summer",12,2,0,115
"FCSB","SuperLiga","Romania","2007","Arrivals","Dorel Zaharia","https://www.transfermarkt.com/dorel-zaharia/profil/spieler/46682","Centre-Forward","29","Romania","Gloria Bistrita","SuperLiga","Romania",5e+05,FALSE,NA,"Summer",28,22,7,1083
"FCSB","SuperLiga","Romania","2007","Arrivals","Ducu Ninu","https://www.transfermarkt.com/ducu-ninu/profil/spieler/42788","Centre-Back","20","Romania","Progresul",NA,"Romania",3e+05,FALSE,NA,"Summer",4,2,0,180
"FCSB","SuperLiga","Romania","2007","Arrivals","Erik Bicfalvi","https://www.transfermarkt.com/erik-bicfalvi/profil/spieler/46504","Centre-Forward","19","Romania","Jiul Petrosani",NA,"Romania",3e+05,FALSE,NA,"Summer",20,15,1,498
"FCSB","SuperLiga","Romania","2007","Arrivals","Daniel Bălan","https://www.transfermarkt.com/daniel-balan/profil/spieler/26488","Right-Back","27","Romania","FC Arges","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2007","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2007","Arrivals","Valentin Simion","https://www.transfermarkt.com/valentin-simion/profil/spieler/34760","Centre-Forward","20","Romania","UTA Arad","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2007","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2007","Arrivals","Alexandru Tudose","https://www.transfermarkt.com/alexandru-tudose/profil/spieler/34941","Centre-Back","20","Romania","UTA Arad","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2007","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2007","Arrivals","Alin Litu","https://www.transfermarkt.com/alin-litu/profil/spieler/34938","Centre-Forward","20","Romania","Jiul Petrosani","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2007","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2007","Departures","Cyril Théréau","https://www.transfermarkt.com/cyril-thereau/profil/spieler/29316","Centre-Forward","24","France","RSC Anderlecht","Jupiler Pro League","Belgium",2900000,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2007","Departures","Sorin Paraschiv","https://www.transfermarkt.com/sorin-paraschiv/profil/spieler/26503","Defensive Midfield","26","Romania","Rimini","Serie B","Italy",5e+05,FALSE,NA,"Summer",NA,NA,NA,NA
