"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Flavius Moldovan","https://www.transfermarkt.com/flavius-moldovan/profil/spieler/35432","Centre-Back","28","Romania","Progresul","SuperLiga","Romania",250000,FALSE,NA,"Summer",7,6,0,517
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Mihai Mincă","https://www.transfermarkt.com/mihai-minca/profil/spieler/35431","Goalkeeper","20","Romania","Alba Iulia",NA,"Romania",150000,FALSE,NA,"Summer",21,10,0,783
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Romeo Stancu","https://www.transfermarkt.com/romeo-stancu/profil/spieler/35442","Left Midfield","27","Romania","Poli. Timisoara","SuperLiga","Romania",80000,FALSE,NA,"Summer",28,25,1,1862
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Apoula Edel","https://www.transfermarkt.com/apoula-edel/profil/spieler/41647","Goalkeeper","19","Armenia","Pyunik Yerevan",NA,"Armenia",38000,FALSE,NA,"Summer",0,0,0,0
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Bogdan Mara","https://www.transfermarkt.com/bogdan-mara/profil/spieler/47602","Attacking Midfield","27","Romania","Poli Ejido","LaLiga2","Spain",0,FALSE,NA,"Summer",7,6,0,245
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Emil Dica","https://www.transfermarkt.com/emil-dica/profil/spieler/34509","Defensive Midfield","22","Romania","CS Mioveni",NA,"Romania",NA,FALSE,"?","Summer",32,31,0,1156
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Arman Karamyan","https://www.transfermarkt.com/arman-karamyan/profil/spieler/44091","Left Winger","26","Armenia","FC Brasov",NA,"Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Gigel Ene","https://www.transfermarkt.com/gigel-ene/profil/spieler/35436","Attacking Midfield","22","Romania","Rapid 1923 II",NA,"Romania",NA,FALSE,"-","Summer",3,2,0,105
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Georgica Petroiu","https://www.transfermarkt.com/georgica-petroiu/profil/spieler/53971","Defender","17","Romania","Rapid 1923 U18",NA,"Romania",NA,FALSE,"-","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Arman Karamyan","https://www.transfermarkt.com/arman-karamyan/profil/spieler/44091","Left Winger","25","Armenia","FC Brasov","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2005","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Ionut Rada","https://www.transfermarkt.com/ionut-rada/profil/spieler/34506","Centre-Back","22","Romania","Progresul","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2005","Summer",41,41,2,3643
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Adrian Patulea","https://www.transfermarkt.com/adrian-patulea/profil/spieler/119390","Centre-Forward","20","Romania","FCM Targoviste",NA,"Romania",NA,TRUE,"End of loan Jun 30, 2005","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Departures","Viorel Dinu","https://www.transfermarkt.com/viorel-dinu/profil/spieler/156919","Left Winger","26","Romania","FC Sheriff",NA,"Moldova",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Departures","Radu Sardescu","https://www.transfermarkt.com/radu-sardescu/profil/spieler/97521","Goalkeeper","23","Romania","Progresul","SuperLiga","Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Departures","Cristian Ionescu","https://www.transfermarkt.com/cristian-ionescu/profil/spieler/64175","Left-Back","27","Romania","FC Sheriff",NA,"Moldova",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Departures","Adrian Patulea","https://www.transfermarkt.com/adrian-patulea/profil/spieler/119390","Centre-Forward","20","Romania","Petrolul",NA,"Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Departures","Arman Karamyan","https://www.transfermarkt.com/arman-karamyan/profil/spieler/44091","Left Winger","25","Armenia","Gloria Bistrita","SuperLiga","Romania",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Viorel Moldovan","https://www.transfermarkt.com/viorel-moldovan/profil/spieler/5519","Centre-Forward","33","Romania","Poli. Timisoara","SuperLiga","Romania",3e+05,FALSE,NA,"Winter",20,19,10,1082
"FC Rapid 1923","SuperLiga","Romania","2005","Arrivals","Daniel Pancu","https://www.transfermarkt.com/daniel-pancu/profil/spieler/6888","Centre-Forward","28","Romania","Besiktas","Süper Lig","Türkiye",150000,TRUE,NA,"Winter",16,16,4,1168
