"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Claudiu Niculescu","https://www.transfermarkt.com/claudiu-niculescu/profil/spieler/26049","Centre-Forward","27","Romania","Genoa","Serie B","Italy",320000,FALSE,NA,"Summer",37,37,19,2581
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Xavier Méride","https://www.transfermarkt.com/xavier-meride/profil/spieler/151412","Centre-Back","28","France","Wasquehal","Championnat National","France",0,FALSE,NA,"Summer",8,7,0,503
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Grégory Delwarte","https://www.transfermarkt.com/gregory-delwarte/profil/spieler/16245","Goalkeeper","25","Belgium","RAEC Mons","Jupiler Pro League","Belgium",0,FALSE,NA,"Summer",16,15,0,1305
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Samuel Okunowo","https://www.transfermarkt.com/samuel-okunowo/profil/spieler/3517","Right-Back","24","Nigeria","Ionikos Nikeas","Super League 1","Greece",0,FALSE,NA,"Summer",3,3,0,208
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Mugur Bolohan","https://www.transfermarkt.com/mugur-bolohan/profil/spieler/54726","Defensive Midfield","27","Romania","FCM Bacau","SuperLiga","Romania",NA,FALSE,"?","Summer",1,1,0,8
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Ștefan Preda","https://www.transfermarkt.com/stefan-preda/profil/spieler/102024","Goalkeeper","33","Romania","FC Arges","SuperLiga","Romania",NA,FALSE,"?","Summer",14,13,0,1106
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Leonard Naidin","https://www.transfermarkt.com/leonard-naidin/profil/spieler/26042","Attacking Midfield","23","Romania","Bihor Oradea","SuperLiga","Romania",NA,FALSE,"?","Summer",9,8,0,325
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Catalin Petre Craciunescu","https://www.transfermarkt.com/catalin-petre-craciunescu/profil/spieler/48776","Centre-Back","25","Romania","FC U Craiova","SuperLiga","Romania",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Adrian Iordache","https://www.transfermarkt.com/adrian-iordache/profil/spieler/26038","Centre-Back","22","Romania","Otelul Galati","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2003","Summer",32,30,3,2380
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Dorin Semeghin","https://www.transfermarkt.com/dorin-semeghin/profil/spieler/26044","Left-Back","24","Romania","FC Arges","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2003","Summer",36,35,1,3002
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Ianis Zicu","https://www.transfermarkt.com/ianis-zicu/profil/spieler/16909","Attacking Midfield","19","Romania","Farul Constanta","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2003","Summer",19,19,8,1365
"FC Dinamo 1948","SuperLiga","Romania","2003","Arrivals","Cristian Pulhac","https://www.transfermarkt.com/cristian-pulhac/profil/spieler/34781","Left-Back","18","Romania","Poiana Campina",NA,"Romania",NA,TRUE,"End of loan Jun 30, 2003","Summer",NA,NA,NA,NA
