"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FCSB","SuperLiga","Romania","2006","Arrivals","Ovidiu Petre","https://www.transfermarkt.com/ovidiu-petre/profil/spieler/9762","Defensive Midfield","24","Romania","Poli. Timisoara","SuperLiga","Romania",1500000,FALSE,NA,"Summer",31,28,2,1391
"FCSB","SuperLiga","Romania","2006","Arrivals","Valentin Badea","https://www.transfermarkt.com/valentin-badea/profil/spieler/43758","Centre-Forward","23","Romania","FC Vaslui","SuperLiga","Romania",1e+06,FALSE,NA,"Summer",48,47,17,2976
"FCSB","SuperLiga","Romania","2006","Arrivals","Cyril Théréau","https://www.transfermarkt.com/cyril-thereau/profil/spieler/29316","Centre-Forward","23","France","R Charleroi SC","Jupiler Pro League","Belgium",7e+05,FALSE,NA,"Summer",26,25,10,1608
"FCSB","SuperLiga","Romania","2006","Arrivals","Gigel Coman","https://www.transfermarkt.com/gigel-coman/profil/spieler/25930","Left Midfield","27","Romania","Poli. Timisoara","SuperLiga","Romania",450000,FALSE,NA,"Summer",33,21,0,1078
"FCSB","SuperLiga","Romania","2006","Arrivals","Klemi Saban","https://www.transfermarkt.com/klemi-saban/profil/spieler/43764","Right-Back","26","Israel","Maccabi Haifa","Ligat ha'Al","Israel",4e+05,FALSE,NA,"Summer",31,12,0,946
"FCSB","SuperLiga","Romania","2006","Arrivals","Andrey","https://www.transfermarkt.com/andrey/profil/spieler/45500","Goalkeeper","22","Brazil","Figueirense FC","Série A","Brazil",4e+05,FALSE,NA,"Summer",10,7,0,660
"FCSB","SuperLiga","Romania","2006","Arrivals","Stelian Stancu","https://www.transfermarkt.com/stelian-stancu/profil/spieler/45487","Right-Back","24","Romania","Sportul S.",NA,"Romania",250000,FALSE,NA,"Summer",30,22,1,1581
"FCSB","SuperLiga","Romania","2006","Arrivals","Bogdan Panait","https://www.transfermarkt.com/bogdan-panait/profil/spieler/43762","Centre-Back","23","Romania","FC Vaslui","SuperLiga","Romania",1e+05,FALSE,NA,"Summer",11,1,0,8
"FCSB","SuperLiga","Romania","2006","Arrivals","Alexandru Iacob","https://www.transfermarkt.com/alexandru-iacob/profil/spieler/53201","Centre-Back","17","Romania","Corvinul 2005",NA,"Romania",NA,FALSE,"?","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2006","Arrivals","Laurentiu Dinita","https://www.transfermarkt.com/laurentiu-dinita/profil/spieler/26493","Centre-Forward","31","Romania","Jiul Petrosani","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2006","Summer",NA,NA,NA,NA
