"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FCSB","SuperLiga","Romania","2021","Arrivals","Andrei Dumiter","https://www.transfermarkt.com/andrei-dumiter/profil/spieler/466722","Centre-Forward","22","Romania","Sepsi OSK","SuperLiga","Romania",350000,FALSE,NA,"Summer",37,22,3,724
"FCSB","SuperLiga","Romania","2021","Arrivals","Valentin Gheorghe","https://www.transfermarkt.com/valentin-gheorghe/profil/spieler/453810","Left Winger","24","Romania","Astra Giurgiu","Liga 2","Romania",250000,FALSE,NA,"Summer",33,29,7,1168
"FCSB","SuperLiga","Romania","2021","Arrivals","Andrei Cordea","https://www.transfermarkt.com/andrei-cordea/profil/spieler/435712","Right Winger","22","Romania","Ac. Clinceni","SuperLiga","Romania",50000,FALSE,NA,"Summer",42,41,6,2719
"FCSB","SuperLiga","Romania","2021","Arrivals","Claudiu Keșerü","https://www.transfermarkt.com/claudiu-keseru/profil/spieler/25115","Centre-Forward","34","Romania","Ludogorets","efbet Liga","Bulgaria",0,FALSE,NA,"Summer",20,19,5,1001
"FCSB","SuperLiga","Romania","2021","Arrivals","Constantin Budescu","https://www.transfermarkt.com/constantin-budescu/profil/spieler/164233","Attacking Midfield","32","Romania","Damac FC","Saudi Pro League","Saudi Arabia",0,FALSE,NA,"Summer",13,11,1,441
"FCSB","SuperLiga","Romania","2021","Arrivals","Paulo Vinícius","https://www.transfermarkt.com/paulo-vinicius/profil/spieler/45025","Centre-Back","36","Brazil","CFR Cluj","SuperLiga","Romania",0,FALSE,NA,"Summer",28,25,2,2198
"FCSB","SuperLiga","Romania","2021","Arrivals","Zdenek Ondrasek","https://www.transfermarkt.com/zdenek-ondrasek/profil/spieler/72947","Centre-Forward","32","Czech Republic","Viktoria Plzen","Chance Liga","Czech Republic",0,FALSE,NA,"Summer",4,3,0,113
"FCSB","SuperLiga","Romania","2021","Arrivals","Ivan Mamut","https://www.transfermarkt.com/ivan-mamut/profil/spieler/446996","Centre-Forward","24","Croatia","CS U Craiova","SuperLiga","Romania",0,FALSE,NA,"Summer",15,11,1,364
"FCSB","SuperLiga","Romania","2021","Arrivals","Alexandru Crețu","https://www.transfermarkt.com/alexandru-cretu/profil/spieler/216661","Defensive Midfield","29","Romania","NK Maribor","Prva Liga","Slovenia",0,FALSE,NA,"Summer",7,7,0,615
"FCSB","SuperLiga","Romania","2021","Arrivals","Stipe Vucur","https://www.transfermarkt.com/stipe-vucur/profil/spieler/111463","Centre-Back","29","Austria","Hallescher FC","3. Liga","Germany",0,FALSE,NA,"Summer",3,3,0,255
"FCSB","SuperLiga","Romania","2021","Arrivals","Andrei Burlacu","https://www.transfermarkt.com/andrei-burlacu/profil/spieler/415457","Left Winger","24","Romania","CS U Craiova","SuperLiga","Romania",0,FALSE,NA,"Summer",12,3,0,85
"FCSB","SuperLiga","Romania","2021","Arrivals","Sorin Șerban","https://www.transfermarkt.com/sorin-serban/profil/spieler/567518","Left-Back","21","Romania","FCSB II",NA,"Romania",NA,FALSE,"-","Summer",17,10,0,627
"FCSB","SuperLiga","Romania","2021","Arrivals","Alexandru Musi","https://www.transfermarkt.com/alexandru-musi/profil/spieler/881064","Left Winger","16","Romania","FCSB U18",NA,"Romania",NA,FALSE,"-","Summer",22,8,1,157
"FCSB","SuperLiga","Romania","2021","Arrivals","Adrian Petre","https://www.transfermarkt.com/adrian-petre/profil/spieler/365769","Centre-Forward","22","Romania","Cosenza","Serie B","Italy",NA,TRUE,"End of loan Feb 6, 2021","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Arrivals","Cristian Dumitru","https://www.transfermarkt.com/cristian-dumitru/profil/spieler/599600","Left Winger","19","Romania","FC Arges","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2021","Summer",4,3,0,54
"FCSB","SuperLiga","Romania","2021","Arrivals","Marius Briceag","https://www.transfermarkt.com/marius-briceag/profil/spieler/209063","Left-Back","29","Romania","FC Voluntari","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2021","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Arrivals","Cristian Dumitru","https://www.transfermarkt.com/cristian-dumitru/profil/spieler/599600","Left Winger","18","Romania","Ac. Clinceni","SuperLiga","Romania",NA,TRUE,"End of loan Oct 5, 2020","Summer",4,3,0,54
"FCSB","SuperLiga","Romania","2021","Arrivals","Ianis Stoica","https://www.transfermarkt.com/ianis-stoica/profil/spieler/547754","Left Winger","18","Romania","Slatina","Liga 2","Romania",NA,TRUE,"End of loan Jun 30, 2021","Summer",38,34,9,1283
"FCSB","SuperLiga","Romania","2021","Arrivals","Robert Ion","https://www.transfermarkt.com/robert-ion/profil/spieler/608511","Attacking Midfield","21","Romania","FC Voluntari","SuperLiga","Romania",NA,TRUE,"End of loan Sep 6, 2021","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Arrivals","Răzvan Ducan","https://www.transfermarkt.com/razvan-ducan/profil/spieler/547853","Goalkeeper","19","Romania","AFC Turris","Liga 2","Romania",NA,TRUE,"End of loan Jan 15, 2021","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Olimpiu Moruțan","https://www.transfermarkt.com/olimpiu-morutan/profil/spieler/429551","Attacking Midfield","22","Romania","Galatasaray","Süper Lig","Türkiye",4100000,FALSE,NA,"Summer",7,7,1,512
"FCSB","SuperLiga","Romania","2021","Departures","Gabriel Simion","https://www.transfermarkt.com/gabriel-simion/profil/spieler/447557","Defensive Midfield","23","Romania","Aris Limassol","Cyprus League","Cyprus",1e+05,TRUE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Zdenek Ondrasek","https://www.transfermarkt.com/zdenek-ondrasek/profil/spieler/72947","Centre-Forward","32","Czech Republic","Tromsø","Eliteserien","Norway",0,FALSE,NA,"Summer",4,3,0,113
"FCSB","SuperLiga","Romania","2021","Departures","Ionuț Vînă","https://www.transfermarkt.com/ionut-vina/profil/spieler/208828","Central Midfield","26","Romania","CS U Craiova","SuperLiga","Romania",0,FALSE,NA,"Summer",2,1,0,45
"FCSB","SuperLiga","Romania","2021","Departures","Alexandru Crețu","https://www.transfermarkt.com/alexandru-cretu/profil/spieler/216661","Defensive Midfield","29","Romania","CS U Craiova","SuperLiga","Romania",0,FALSE,NA,"Summer",7,7,0,615
"FCSB","SuperLiga","Romania","2021","Departures","Marius Briceag","https://www.transfermarkt.com/marius-briceag/profil/spieler/209063","Left-Back","29","Romania","FC Voluntari","SuperLiga","Romania",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Alexandru Buziuc","https://www.transfermarkt.com/alexandru-buziuc/profil/spieler/269786","Centre-Forward","27","Romania","CS Mioveni","SuperLiga","Romania",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Ante Vukusic","https://www.transfermarkt.com/ante-vukusic/profil/spieler/99345","Centre-Forward","30","Croatia","ACR Messina","Serie C - C","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Lucian Filip","https://www.transfermarkt.com/lucian-filip/profil/spieler/60880","Defensive Midfield","30","Romania","Ac. Clinceni","SuperLiga","Romania",0,FALSE,NA,"Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Dragoș Nedelcu","https://www.transfermarkt.com/dragos-nedelcu/profil/spieler/295868","Defensive Midfield","24","Romania","F. Düsseldorf","2. Bundesliga","Germany",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Cristian Dumitru","https://www.transfermarkt.com/cristian-dumitru/profil/spieler/599600","Left Winger","19","Romania","FC Arges","SuperLiga","Romania",NA,TRUE,"loan transfer","Summer",4,3,0,54
"FCSB","SuperLiga","Romania","2021","Departures","Robert Ion","https://www.transfermarkt.com/robert-ion/profil/spieler/608511","Attacking Midfield","21","Romania","Ac. Clinceni","SuperLiga","Romania",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Robert Ion","https://www.transfermarkt.com/robert-ion/profil/spieler/608511","Attacking Midfield","20","Romania","FC Voluntari","SuperLiga","Romania",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Alexandru Pantea","https://www.transfermarkt.com/alexandru-pantea/profil/spieler/670828","Right-Back","17","Romania","FC Hermannstadt","Liga 2","Romania",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Andrei Pandele","https://www.transfermarkt.com/andrei-pandele/profil/spieler/608478","Central Midfield","17","Romania","Metaloglobus","Liga 2","Romania",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Departures","Stipe Vucur","https://www.transfermarkt.com/stipe-vucur/profil/spieler/111463","Centre-Back","29","Austria","Without Club",NA,NA,NA,FALSE,"-","Summer",3,3,0,255
"FCSB","SuperLiga","Romania","2021","Departures","Aristidis Soiledis","https://www.transfermarkt.com/aristidis-soiledis/profil/spieler/63490","Left-Back","30","Greece",NA,NA,NA,NA,FALSE,"-","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2021","Arrivals","Malcom Edjouma","https://www.transfermarkt.com/malcom-edjouma/profil/spieler/468704","Central Midfield","25","Morocco","FC Botosani","SuperLiga","Romania",330000,FALSE,NA,"Winter",14,14,2,800
"FCSB","SuperLiga","Romania","2021","Arrivals","Florin Achim","https://www.transfermarkt.com/florin-achim/profil/spieler/212679","Right-Back","30","Romania","Ac. Clinceni","SuperLiga","Romania",0,FALSE,NA,"Winter",1,1,0,1
