row_index,season,window,transfer_type,player_name,player_url,team_name,club_2,country_2,league_2,country,league,transfer_fee,is_loan,transfer_notes,why_missing
4019,2009,Summer,Departures,Bogdan Stelea,https://www.transfermarkt.com/bogdan-stelea/profil/spieler/32185,FC Brasov (- 2017),,,,,,,False,-,club_2 is empty/null
4100,2009,Summer,Departures,Daniel Chirita,https://www.transfermarkt.com/daniel-chirita/profil/spieler/15648,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
4185,2009,Summer,Departures,Alejandro Gavatorta,https://www.transfermarkt.com/alejandro-gavatorta/profil/spieler/30719,Politehnica Iasi (1945 - 2010),,,,,,,False,-,club_2 is empty/null
4235,2009,Winter,Departures,Claudiu Nicolae Boaru,https://www.transfermarkt.com/claudiu-nicolae-boaru/profil/spieler/81472,Gaz Metan Medias (- 2022),,,,,,,False,-,club_2 is empty/null
4292,2009,Winter,Departures,Sandu Negrean,https://www.transfermarkt.com/sandu-negrean/profil/spieler/46608,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
4328,2009,Summer,Departures,Angelo Alistar,https://www.transfermarkt.com/angelo-alistar/profil/spieler/26027,International Curtea de Arges (2000 - 2011),,,,,,,False,-,club_2 is empty/null
4354,2009,Summer,Departures,Lucian Covrig,https://www.transfermarkt.com/lucian-covrig/profil/spieler/46524,CSM Ceahlaul Piatra Neamt,,,,Romania,Liga 2,,False,-,club_2 is empty/null
4378,2009,Winter,Departures,Tiberiu Rotaru,https://www.transfermarkt.com/tiberiu-rotaru/profil/spieler/134833,CSM Ceahlaul Piatra Neamt,,,,Romania,Liga 2,0.0,False,,club_2 is empty/null
4534,2010,Summer,Departures,André Galiassi,https://www.transfermarkt.com/andre-galiassi/profil/spieler/48654,CFR Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
4607,2010,Summer,Departures,Cristian Munteanu,https://www.transfermarkt.com/cristian-munteanu/profil/spieler/26032,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
